,wiki_db,N_pages,N_sitelinks,fraction_sitelinks
290,rmywiki,711,699,0.9831223628691983
291,tumwiki,708,646,0.9124293785310734
292,tswiki,705,695,0.9858156028368794
293,rnwiki,703,701,0.9971550497866287
294,ikwiki,669,666,0.9955156950672646
295,nywiki,641,619,0.9656786271450858
296,tenwiki,614,0,0.0
297,adywiki,556,553,0.9946043165467626
298,chwiki,541,534,0.9870609981515711
299,sswiki,533,531,0.9962476547842402
300,iuwiki,514,513,0.9980544747081712
301,pntwiki,514,510,0.9922178988326849
302,kswiki,457,405,0.8862144420131292
303,vewiki,446,443,0.9932735426008968
304,eewiki,384,380,0.9895833333333334
305,tiwiki,372,345,0.9274193548387096
306,ffwiki,317,310,0.9779179810725552
307,dzwiki,296,292,0.9864864864864865
308,sgwiki,291,291,1.0
309,dinwiki,286,282,0.986013986013986
310,donatewiki,126,0,0.0
311,crwiki,120,119,0.9916666666666667
312,ngwiki,21,0,0.0
313,iiwiki,15,0,0.0
314,chowiki,14,0,0.0
315,mhwiki,9,0,0.0
316,kjwiki,6,0,0.0
317,votewiki,6,0,0.0
318,howiki,4,0,0.0
319,muswiki,3,0,0.0
320,aawiki,2,0,0.0
321,krwiki,1,0,0.0
322,loginwiki,1,0,0.0
323,hzwiki,1,0,0.0
